Serial_Num (N/A),Season (Year),Name (N/A),ISO_time,day,month,hour,Nature (N/A),Latitude (deg_north),Longitude (deg_east),Wind(WMO) (kt),Pres(WMO) (mb),Wind(WMO) Percentile (%),Pres(WMO) Percentile (%),Intensity
1980199N31284,1980,UNNAMED,1980-07-21 00:00:00,21,7,0, TS,30.8,-90.0,0,0,-100.0,-100.0,Unknown
1980200N25270,1980,UNNAMED,1980-07-17 12:00:00,17,7,12, TS,25.0,-90.0,20,0,0.857,-100.0,Unknown
1980200N25270,1980,UNNAMED,1980-07-17 18:00:00,17,7,18, TS,25.2,-90.4,25,0,4.702,-100.0,Unknown
1980200N25270,1980,UNNAMED,1980-07-18 00:00:00,18,7,0, TS,25.4,-90.9,25,0,4.702,-100.0,Unknown
1980200N25270,1980,UNNAMED,1980-07-18 06:00:00,18,7,6, TS,25.7,-91.2,30,0,17.062,-100.0,Unknown
1980200N25270,1980,UNNAMED,1980-07-18 12:00:00,18,7,12, TS,26.0,-91.8,30,0,17.062,-100.0,Unknown
1980200N25270,1980,UNNAMED,1980-07-18 18:00:00,18,7,18, TS,26.2,-92.1,30,0,17.062,-100.0,Unknown
1980200N25270,1980,UNNAMED,1980-07-19 00:00:00,19,7,0, TS,26.4,-92.7,30,0,17.062,-100.0,Unknown
1980200N25270,1980,UNNAMED,1980-07-19 06:00:00,19,7,6, TS,26.8,-93.0,30,0,17.062,-100.0,Unknown
1980200N25270,1980,UNNAMED,1980-07-19 12:00:00,19,7,12, TS,27.0,-93.5,30,0,17.062,-100.0,Unknown
1980200N25270,1980,UNNAMED,1980-07-19 18:00:00,19,7,18, TS,27.4,-94.0,30,0,17.062,-100.0,Unknown
1980200N25270,1980,UNNAMED,1980-07-20 00:00:00,20,7,0, TS,27.8,-94.5,30,0,17.062,-100.0,Unknown
1980200N25270,1980,UNNAMED,1980-07-20 06:00:00,20,7,6, TS,28.0,-94.9,30,0,17.062,-100.0,Unknown
1980200N25270,1980,UNNAMED,1980-07-20 12:00:00,20,7,12, TS,28.5,-95.2,30,0,17.062,-100.0,Unknown
1980200N25270,1980,UNNAMED,1980-07-20 18:00:00,20,7,18, TS,29.0,-95.7,25,0,4.702,-100.0,Unknown
1980200N25270,1980,UNNAMED,1980-07-21 00:00:00,21,7,0, TS,29.5,-95.7,25,0,4.702,-100.0,Unknown
1980200N25270,1980,UNNAMED,1980-07-21 06:00:00,21,7,6, TS,30.0,-95.5,25,0,4.702,-100.0,Unknown
1980200N25270,1980,UNNAMED,1980-07-21 12:00:00,21,7,12, TS,30.5,-95.0,0,0,-100.0,-100.0,Unknown
1980204N23287,1980,UNNAMED,1980-07-22 00:00:00,22,7,0, TS,23.2,-73.5,20,0,0.857,-100.0,Unknown
1980204N23287,1980,UNNAMED,1980-07-22 06:00:00,22,7,6, TS,24.0,-74.5,25,0,4.702,-100.0,Unknown
1980204N23287,1980,UNNAMED,1980-07-22 12:00:00,22,7,12, TS,25.1,-75.4,25,0,4.702,-100.0,Unknown
1980204N23287,1980,UNNAMED,1980-07-22 18:00:00,22,7,18, TS,26.2,-76.2,30,0,17.062,-100.0,Unknown
1980204N23287,1980,UNNAMED,1980-07-23 00:00:00,23,7,0, TS,27.0,-76.8,30,0,17.062,-100.0,Unknown
1980204N23287,1980,UNNAMED,1980-07-23 06:00:00,23,7,6, TS,28.2,-77.4,30,0,17.062,-100.0,Unknown
1980204N23287,1980,UNNAMED,1980-07-23 12:00:00,23,7,12, TS,29.3,-77.8,30,0,17.062,-100.0,Unknown
1980204N23287,1980,UNNAMED,1980-07-23 18:00:00,23,7,18, TS,30.8,-77.7,30,0,17.062,-100.0,Unknown
1980204N23287,1980,UNNAMED,1980-07-24 00:00:00,24,7,0, TS,31.8,-77.4,30,0,17.062,-100.0,Unknown
1980204N23287,1980,UNNAMED,1980-07-24 06:00:00,24,7,6, TS,33.0,-76.8,30,0,17.062,-100.0,Unknown
1980204N23287,1980,UNNAMED,1980-07-24 12:00:00,24,7,12, TS,34.0,-75.8,30,0,17.062,-100.0,Unknown
1980204N23287,1980,UNNAMED,1980-07-24 18:00:00,24,7,18, TS,35.1,-73.9,25,0,4.702,-100.0,Unknown
1980204N23287,1980,UNNAMED,1980-07-25 00:00:00,25,7,0, TS,36.0,-72.0,25,0,4.702,-100.0,Unknown
1980204N23287,1980,UNNAMED,1980-07-25 06:00:00,25,7,6, TS,36.5,-70.0,25,0,4.702,-100.0,Unknown
1980204N23287,1980,UNNAMED,1980-07-25 12:00:00,25,7,12, TS,37.0,-68.2,25,0,4.702,-100.0,Unknown
1980204N23287,1980,UNNAMED,1980-07-25 18:00:00,25,7,18, TS,37.2,-66.0,20,0,0.857,-100.0,Unknown
1980204N23287,1980,UNNAMED,1980-07-26 00:00:00,26,7,0, TS,37.6,-64.0,20,0,0.857,-100.0,Unknown
1980214N11330,1980,ALLEN,1980-07-31 12:00:00,31,7,12, NR,11.0,-30.0,25,0,4.702,-100.0,Unknown
1980214N11330,1980,ALLEN,1980-07-31 18:00:00,31,7,18, NR,10.9,-32.2,25,0,4.702,-100.0,Unknown
1980214N11330,1980,ALLEN,1980-08-01 00:00:00,1,8,0, TS,10.8,-34.3,30,1010,17.062,5.605,Low
1980214N11330,1980,ALLEN,1980-08-01 06:00:00,1,8,6, TS,10.7,-36.4,30,1009,17.062,9.96,Low
1980214N11330,1980,ALLEN,1980-08-01 12:00:00,1,8,12, TS,10.7,-38.6,30,1008,17.062,16.249,Low
1980214N11330,1980,ALLEN,1980-08-01 18:00:00,1,8,18, TS,10.7,-40.7,30,1006,17.062,26.65,Low
1980214N11330,1980,ALLEN,1980-08-02 00:00:00,2,8,0, TS,11.0,-42.8,35,1005,32.179,31.62,Low
1980214N11330,1980,ALLEN,1980-08-02 06:00:00,2,8,6, TS,11.4,-44.8,45,1000,49.669,49.967,Low
1980214N11330,1980,ALLEN,1980-08-02 12:00:00,2,8,12, TS,11.9,-46.9,55,995,63.594,62.326,Low
1980214N11330,1980,ALLEN,1980-08-02 18:00:00,2,8,18, TS,12.3,-49.1,60,990,68.918,70.391,Low
1980214N11330,1980,ALLEN,1980-08-03 00:00:00,3,8,0, TS,12.4,-51.4,65,985,73.077,77.05,Low
1980214N11330,1980,ALLEN,1980-08-03 06:00:00,3,8,6, TS,12.6,-53.6,70,980,78.144,81.225,Medium
1980214N11330,1980,ALLEN,1980-08-03 12:00:00,3,8,12, TS,12.8,-55.6,80,975,84.517,85.263,Medium
1980214N11330,1980,ALLEN,1980-08-03 18:00:00,3,8,18, TS,12.9,-57.5,95,965,91.324,90.699,Medium
1980214N11330,1980,ALLEN,1980-08-04 00:00:00,4,8,0, TS,13.3,-59.1,110,950,95.324,95.566,Medium
1980214N11330,1980,ALLEN,1980-08-04 06:00:00,4,8,6, TS,13.6,-61.0,115,948,96.376,96.135,Medium
1980214N11330,1980,ALLEN,1980-08-04 12:00:00,4,8,12, TS,14.0,-63.0,125,945,98.402,97.082,Medium
1980214N11330,1980,ALLEN,1980-08-04 18:00:00,4,8,18, TS,14.4,-64.9,130,930,99.005,99.032,High
1980214N11330,1980,ALLEN,1980-08-05 00:00:00,5,8,0, TS,14.8,-66.7,140,911,99.532,99.769,High
1980214N11330,1980,ALLEN,1980-08-05 06:00:00,5,8,6, TS,15.4,-68.6,145,916,99.779,99.687,High
1980214N11330,1980,ALLEN,1980-08-05 12:00:00,5,8,12, TS,15.9,-70.5,155,932,99.937,98.933,High
1980214N11330,1980,ALLEN,1980-08-05 18:00:00,5,8,18, TS,16.5,-72.3,150,940,99.871,97.935,High
1980214N11330,1980,ALLEN,1980-08-06 00:00:00,6,8,0, TS,17.8,-73.8,140,945,99.532,97.082,Medium
1980214N11330,1980,ALLEN,1980-08-06 06:00:00,6,8,6, TS,18.3,-75.9,115,955,96.376,94.292,Medium
1980214N11330,1980,ALLEN,1980-08-06 12:00:00,6,8,12, TS,19.2,-78.0,115,955,96.376,94.292,Medium
1980214N11330,1980,ALLEN,1980-08-06 18:00:00,6,8,18, TS,20.0,-80.1,125,955,98.402,94.292,Medium
1980214N11330,1980,ALLEN,1980-08-07 00:00:00,7,8,0, TS,20.1,-81.9,135,945,99.325,97.082,Medium
1980214N11330,1980,ALLEN,1980-08-07 06:00:00,7,8,6, TS,20.4,-83.6,145,935,99.779,98.508,High
1980214N11330,1980,ALLEN,1980-08-07 12:00:00,7,8,12, TS,21.0,-84.8,155,910,99.937,99.773,High
1980214N11330,1980,ALLEN,1980-08-07 18:00:00,7,8,18, TS,21.8,-86.4,165,899,99.997,99.955,High
1980214N11330,1980,ALLEN,1980-08-08 00:00:00,8,8,0, TS,22.2,-87.9,155,920,99.937,99.563,High
1980214N11330,1980,ALLEN,1980-08-08 06:00:00,8,8,6, TS,22.8,-89.2,130,945,99.005,97.082,Medium
1980214N11330,1980,ALLEN,1980-08-08 12:00:00,8,8,12, TS,23.4,-90.5,115,960,96.376,92.492,Medium
1980214N11330,1980,ALLEN,1980-08-08 18:00:00,8,8,18, TS,23.9,-91.8,130,940,99.005,97.935,High
1980214N11330,1980,ALLEN,1980-08-09 00:00:00,9,8,0, TS,24.5,-93.0,145,912,99.779,99.761,High
1980214N11330,1980,ALLEN,1980-08-09 06:00:00,9,8,6, TS,25.0,-94.2,155,909,99.937,99.868,High
1980214N11330,1980,ALLEN,1980-08-09 12:00:00,9,8,12, TS,25.2,-95.4,140,916,99.532,99.687,High
1980214N11330,1980,ALLEN,1980-08-09 18:00:00,9,8,18, TS,25.4,-96.1,125,925,98.402,99.349,High
1980214N11330,1980,ALLEN,1980-08-10 00:00:00,10,8,0, TS,25.8,-96.8,110,935,95.324,98.508,High
1980214N11330,1980,ALLEN,1980-08-10 06:00:00,10,8,6, TS,26.1,-97.2,100,945,92.583,97.082,Medium
1980214N11330,1980,ALLEN,1980-08-10 12:00:00,10,8,12, TS,26.7,-98.1,85,960,86.817,92.492,Medium
1980214N11330,1980,ALLEN,1980-08-10 18:00:00,10,8,18, TS,27.3,-99.0,70,970,78.144,88.012,Medium
1980214N11330,1980,ALLEN,1980-08-11 00:00:00,11,8,0, TS,27.7,-99.8,60,990,68.918,70.391,Low
1980214N11330,1980,ALLEN,1980-08-11 06:00:00,11,8,6, TS,28.0,-100.9,45,1000,49.669,49.967,Low
1980214N11330,1980,ALLEN,1980-08-11 12:00:00,11,8,12, TS,28.5,-101.9,30,1005,17.062,31.62,Low
1980214N11330,1980,ALLEN,1980-08-11 18:00:00,11,8,18, TS,28.9,-102.9,30,1008,17.062,16.249,Low
1980226N15339,1980,UNNAMED,1980-08-13 00:00:00,13,8,0, TS,15.0,-21.0,20,0,0.857,-100.0,Unknown
1980226N15339,1980,UNNAMED,1980-08-13 06:00:00,13,8,6, TS,15.2,-22.5,25,0,4.702,-100.0,Unknown
1980226N15339,1980,UNNAMED,1980-08-13 12:00:00,13,8,12, TS,15.8,-24.2,25,0,4.702,-100.0,Unknown
1980226N15339,1980,UNNAMED,1980-08-13 18:00:00,13,8,18, TS,16.7,-25.9,30,0,17.062,-100.0,Unknown
1980226N15339,1980,UNNAMED,1980-08-14 00:00:00,14,8,0, TS,17.8,-27.1,30,0,17.062,-100.0,Unknown
1980226N15339,1980,UNNAMED,1980-08-14 06:00:00,14,8,6, TS,18.8,-28.7,30,0,17.062,-100.0,Unknown
1980226N15339,1980,UNNAMED,1980-08-14 12:00:00,14,8,12, TS,20.0,-30.0,30,0,17.062,-100.0,Unknown
1980226N15339,1980,UNNAMED,1980-08-14 18:00:00,14,8,18, TS,21.0,-31.7,30,0,17.062,-100.0,Unknown
1980226N15339,1980,UNNAMED,1980-08-15 00:00:00,15,8,0, TS,22.0,-33.0,30,0,17.062,-100.0,Unknown
1980226N15339,1980,UNNAMED,1980-08-15 06:00:00,15,8,6, TS,23.2,-34.3,30,0,17.062,-100.0,Unknown
1980226N15339,1980,UNNAMED,1980-08-15 12:00:00,15,8,12, TS,24.8,-35.9,30,0,17.062,-100.0,Unknown
1980226N15339,1980,UNNAMED,1980-08-15 18:00:00,15,8,18, TS,27.3,-37.2,30,0,17.062,-100.0,Unknown
1980226N15339,1980,UNNAMED,1980-08-16 00:00:00,16,8,0, TS,30.0,-36.6,30,0,17.062,-100.0,Unknown
1980226N15339,1980,UNNAMED,1980-08-16 06:00:00,16,8,6, TS,32.1,-34.4,25,0,4.702,-100.0,Unknown
1980226N15339,1980,UNNAMED,1980-08-16 12:00:00,16,8,12, TS,33.8,-31.9,25,0,4.702,-100.0,Unknown
1980226N15339,1980,UNNAMED,1980-08-16 18:00:00,16,8,18, TS,35.2,-29.0,25,0,4.702,-100.0,Unknown
1980226N15339,1980,UNNAMED,1980-08-17 00:00:00,17,8,0, TS,36.7,-26.2,20,0,0.857,-100.0,Unknown
1980227N13325,1980,BONNIE,1980-08-14 00:00:00,14,8,0, TS,12.7,-35.5,25,1010,4.702,5.605,Low
1980227N13325,1980,BONNIE,1980-08-14 06:00:00,14,8,6, TS,13.5,-36.6,30,1008,17.062,16.249,Low
1980227N13325,1980,BONNIE,1980-08-14 12:00:00,14,8,12, TS,14.7,-37.3,35,1005,32.179,31.62,Low
1980227N13325,1980,BONNIE,1980-08-14 18:00:00,14,8,18, TS,15.7,-37.5,45,1000,49.669,49.967,Low
1980227N13325,1980,BONNIE,1980-08-15 00:00:00,15,8,0, TS,16.7,-37.8,45,1000,49.669,49.967,Low
1980227N13325,1980,BONNIE,1980-08-15 06:00:00,15,8,6, TS,17.7,-37.9,45,1000,49.669,49.967,Low
1980227N13325,1980,BONNIE,1980-08-15 12:00:00,15,8,12, TS,18.8,-38.1,45,1000,49.669,49.967,Low
1980227N13325,1980,BONNIE,1980-08-15 18:00:00,15,8,18, TS,20.4,-38.5,55,995,63.594,62.326,Low
1980227N13325,1980,BONNIE,1980-08-16 00:00:00,16,8,0, TS,22.0,-38.7,75,985,81.284,77.05,Low
1980227N13325,1980,BONNIE,1980-08-16 06:00:00,16,8,6, TS,23.7,-38.9,85,975,86.817,85.263,Medium
1980227N13325,1980,BONNIE,1980-08-16 12:00:00,16,8,12, TS,24.8,-39.1,85,975,86.817,85.263,Medium
1980227N13325,1980,BONNIE,1980-08-16 18:00:00,16,8,18, TS,25.8,-39.4,85,975,86.817,85.263,Medium
1980227N13325,1980,BONNIE,1980-08-17 00:00:00,17,8,0, TS,27.0,-39.7,75,985,81.284,77.05,Low
1980227N13325,1980,BONNIE,1980-08-17 06:00:00,17,8,6, TS,28.0,-40.0,65,990,73.077,70.391,Low
1980227N13325,1980,BONNIE,1980-08-17 12:00:00,17,8,12, TS,29.0,-40.3,65,990,73.077,70.391,Low
1980227N13325,1980,BONNIE,1980-08-17 18:00:00,17,8,18, TS,30.0,-40.5,65,990,73.077,70.391,Low
1980227N13325,1980,BONNIE,1980-08-18 00:00:00,18,8,0, TS,31.1,-40.5,65,990,73.077,70.391,Low
1980227N13325,1980,BONNIE,1980-08-18 06:00:00,18,8,6, TS,32.4,-40.5,65,990,73.077,70.391,Low
1980227N13325,1980,BONNIE,1980-08-18 12:00:00,18,8,12, TS,34.0,-40.5,65,990,73.077,70.391,Low
1980227N13325,1980,BONNIE,1980-08-18 18:00:00,18,8,18, TS,35.9,-40.5,65,990,73.077,70.391,Low
1980227N13325,1980,BONNIE,1980-08-19 00:00:00,19,8,0, TS,38.2,-40.2,65,990,73.077,70.391,Low
1980227N13325,1980,BONNIE,1980-08-19 06:00:00,19,8,6, TS,41.9,-39.8,65,990,73.077,70.391,Low
1980227N13325,1980,BONNIE,1980-08-19 12:00:00,19,8,12, TS,46.5,-38.4,65,995,73.077,62.326,Low
1980227N13325,1980,BONNIE,1980-08-19 18:00:00,19,8,18, ET,51.0,-36.0,45,1000,49.669,49.967,Low
1980234N36287,1980,CHARLEY,1980-08-20 12:00:00,20,8,12, SS,36.0,-73.0,25,1010,4.702,5.605,Low
1980234N36287,1980,CHARLEY,1980-08-20 18:00:00,20,8,18, SS,35.0,-72.0,25,1008,4.702,16.249,Low
1980234N36287,1980,CHARLEY,1980-08-21 00:00:00,21,8,0, SS,34.0,-71.0,30,1006,17.062,26.65,Low
1980234N36287,1980,CHARLEY,1980-08-21 06:00:00,21,8,6, SS,33.4,-69.5,30,1005,17.062,31.62,Low
1980234N36287,1980,CHARLEY,1980-08-21 12:00:00,21,8,12, SS,34.0,-68.0,35,1003,32.179,41.251,Low
1980234N36287,1980,CHARLEY,1980-08-21 18:00:00,21,8,18, SS,34.8,-66.8,40,1002,42.219,44.581,Low
1980234N36287,1980,CHARLEY,1980-08-22 00:00:00,22,8,0, SS,35.8,-65.7,45,1000,49.669,49.967,Low
1980234N36287,1980,CHARLEY,1980-08-22 06:00:00,22,8,6, SS,37.0,-64.8,50,998,57.844,56.725,Low
1980234N36287,1980,CHARLEY,1980-08-22 12:00:00,22,8,12, SS,38.3,-64.7,55,996,63.594,61.036,Low
1980234N36287,1980,CHARLEY,1980-08-22 18:00:00,22,8,18, SS,39.1,-64.9,60,994,68.918,64.461,Low
1980234N36287,1980,CHARLEY,1980-08-23 00:00:00,23,8,0, TS,39.6,-65.9,65,992,73.077,68.235,Low
1980234N36287,1980,CHARLEY,1980-08-23 06:00:00,23,8,6, TS,38.9,-66.7,70,990,78.144,70.391,Low
1980234N36287,1980,CHARLEY,1980-08-23 12:00:00,23,8,12, TS,38.2,-66.0,70,989,78.144,72.381,Low
1980234N36287,1980,CHARLEY,1980-08-23 18:00:00,23,8,18, TS,38.0,-64.7,70,990,78.144,70.391,Low
1980234N36287,1980,CHARLEY,1980-08-24 00:00:00,24,8,0, TS,38.0,-63.1,65,991,73.077,69.538,Low
1980234N36287,1980,CHARLEY,1980-08-24 06:00:00,24,8,6, TS,37.9,-61.7,60,994,68.918,64.461,Low
1980234N36287,1980,CHARLEY,1980-08-24 12:00:00,24,8,12, TS,37.9,-60.2,55,998,63.594,56.725,Low
1980234N36287,1980,CHARLEY,1980-08-24 18:00:00,24,8,18, TS,37.9,-58.2,45,1000,49.669,49.967,Low
1980234N36287,1980,CHARLEY,1980-08-25 00:00:00,25,8,0, TS,38.0,-55.0,35,1001,32.179,47.972,Low
1980234N36287,1980,CHARLEY,1980-08-25 06:00:00,25,8,6, TS,38.1,-51.3,35,1002,32.179,44.581,Low
1980234N36287,1980,CHARLEY,1980-08-25 12:00:00,25,8,12, TS,38.2,-47.0,35,1004,32.179,37.625,Low
1980234N36287,1980,CHARLEY,1980-08-25 18:00:00,25,8,18, TS,38.5,-42.2,35,1005,32.179,31.62,Low
1980238N16328,1980,UNNAMED,1980-08-25 00:00:00,25,8,0, TS,15.9,-31.6,20,0,0.857,-100.0,Unknown
1980238N16328,1980,UNNAMED,1980-08-25 06:00:00,25,8,6, TS,15.8,-34.0,25,0,4.702,-100.0,Unknown
1980238N16328,1980,UNNAMED,1980-08-25 12:00:00,25,8,12, TS,15.7,-35.3,25,0,4.702,-100.0,Unknown
1980238N16328,1980,UNNAMED,1980-08-25 18:00:00,25,8,18, TS,15.6,-36.9,25,0,4.702,-100.0,Unknown
1980238N16328,1980,UNNAMED,1980-08-26 00:00:00,26,8,0, TS,15.5,-38.3,25,0,4.702,-100.0,Unknown
1980238N16328,1980,UNNAMED,1980-08-26 06:00:00,26,8,6, TS,15.4,-39.8,25,0,4.702,-100.0,Unknown
1980238N16328,1980,UNNAMED,1980-08-26 12:00:00,26,8,12, TS,15.4,-41.0,25,0,4.702,-100.0,Unknown
1980238N16328,1980,UNNAMED,1980-08-26 18:00:00,26,8,18, TS,15.3,-43.0,30,0,17.062,-100.0,Unknown
1980238N16328,1980,UNNAMED,1980-08-27 00:00:00,27,8,0, TS,15.4,-44.9,30,0,17.062,-100.0,Unknown
1980238N16328,1980,UNNAMED,1980-08-27 06:00:00,27,8,6, TS,15.8,-46.8,30,0,17.062,-100.0,Unknown
1980238N16328,1980,UNNAMED,1980-08-27 12:00:00,27,8,12, TS,16.0,-48.8,30,0,17.062,-100.0,Unknown
1980238N16328,1980,UNNAMED,1980-08-27 18:00:00,27,8,18, TS,16.7,-50.8,30,0,17.062,-100.0,Unknown
1980238N16328,1980,UNNAMED,1980-08-28 00:00:00,28,8,0, TS,17.8,-52.7,30,0,17.062,-100.0,Unknown
1980238N16328,1980,UNNAMED,1980-08-28 06:00:00,28,8,6, TS,19.0,-54.3,30,0,17.062,-100.0,Unknown
1980238N16328,1980,UNNAMED,1980-08-28 12:00:00,28,8,12, TS,20.5,-56.0,25,0,4.702,-100.0,Unknown
1980238N16328,1980,UNNAMED,1980-08-28 18:00:00,28,8,18, TS,22.0,-58.0,25,0,4.702,-100.0,Unknown
1980238N16328,1980,UNNAMED,1980-08-29 00:00:00,29,8,0, TS,22.5,-60.0,20,0,0.857,-100.0,Unknown
1980245N16322,1980,GEORGES,1980-09-01 00:00:00,1,9,0, TS,15.6,-38.0,30,1010,17.062,5.605,Low
1980245N16322,1980,GEORGES,1980-09-01 06:00:00,1,9,6, TS,15.9,-39.4,30,1010,17.062,5.605,Low
1980245N16322,1980,GEORGES,1980-09-01 12:00:00,1,9,12, TS,16.3,-40.8,30,1010,17.062,5.605,Low
1980245N16322,1980,GEORGES,1980-09-01 18:00:00,1,9,18, TS,16.8,-42.1,30,1010,17.062,5.605,Low
1980245N16322,1980,GEORGES,1980-09-02 00:00:00,2,9,0, TS,17.3,-43.7,30,1010,17.062,5.605,Low
1980245N16322,1980,GEORGES,1980-09-02 06:00:00,2,9,6, TS,17.5,-45.7,30,1010,17.062,5.605,Low
1980245N16322,1980,GEORGES,1980-09-02 12:00:00,2,9,12, TS,17.7,-48.1,30,1010,17.062,5.605,Low
1980245N16322,1980,GEORGES,1980-09-02 18:00:00,2,9,18, TS,17.8,-50.3,30,1010,17.062,5.605,Low
1980245N16322,1980,GEORGES,1980-09-03 00:00:00,3,9,0, TS,17.9,-52.4,30,1010,17.062,5.605,Low
1980245N16322,1980,GEORGES,1980-09-03 06:00:00,3,9,6, TS,18.0,-54.5,30,1010,17.062,5.605,Low
1980245N16322,1980,GEORGES,1980-09-03 12:00:00,3,9,12, TS,18.6,-56.9,30,1010,17.062,5.605,Low
1980245N16322,1980,GEORGES,1980-09-03 18:00:00,3,9,18, TS,19.7,-59.0,25,1011,4.702,3.783,Low
1980245N16322,1980,GEORGES,1980-09-04 00:00:00,4,9,0, TS,21.0,-61.0,20,1012,0.857,2.126,Low
1980245N16322,1980,GEORGES,1980-09-04 06:00:00,4,9,6, NR,22.1,-62.3,20,1012,0.857,2.126,Low
1980245N16322,1980,GEORGES,1980-09-04 12:00:00,4,9,12, NR,23.4,-63.6,20,1013,0.857,1.368,Low
1980245N16322,1980,GEORGES,1980-09-04 18:00:00,4,9,18, NR,24.8,-64.8,20,1013,0.857,1.368,Low
1980245N16322,1980,GEORGES,1980-09-05 00:00:00,5,9,0, NR,26.1,-65.8,20,1014,0.857,0.795,Low
1980245N16322,1980,GEORGES,1980-09-05 06:00:00,5,9,6, NR,27.5,-67.0,20,1014,0.857,0.795,Low
1980245N16322,1980,GEORGES,1980-09-05 12:00:00,5,9,12, SS,28.5,-68.6,25,1014,4.702,0.795,Low
1980245N16322,1980,GEORGES,1980-09-05 18:00:00,5,9,18, SS,29.0,-69.4,30,1013,17.062,1.368,Low
1980245N16322,1980,GEORGES,1980-09-06 00:00:00,6,9,0, SS,29.7,-70.0,30,1013,17.062,1.368,Low
1980245N16322,1980,GEORGES,1980-09-06 06:00:00,6,9,6, SS,30.6,-70.0,30,1010,17.062,5.605,Low
1980245N16322,1980,GEORGES,1980-09-06 12:00:00,6,9,12, SS,31.7,-69.6,30,1008,17.062,16.249,Low
1980245N16322,1980,GEORGES,1980-09-06 18:00:00,6,9,18, SS,32.9,-69.1,30,1007,17.062,21.627,Low
1980245N16322,1980,GEORGES,1980-09-07 00:00:00,7,9,0, TS,34.4,-67.9,40,1004,42.219,37.625,Low
1980245N16322,1980,GEORGES,1980-09-07 06:00:00,7,9,6, TS,35.9,-65.9,45,1002,49.669,44.581,Low
1980245N16322,1980,GEORGES,1980-09-07 12:00:00,7,9,12, TS,37.3,-63.7,50,1000,57.844,49.967,Low
1980245N16322,1980,GEORGES,1980-09-07 18:00:00,7,9,18, TS,38.6,-61.5,55,997,63.594,58.621,Low
1980245N16322,1980,GEORGES,1980-09-08 00:00:00,8,9,0, TS,40.2,-59.0,70,993,78.144,67.193,Low
1980245N16322,1980,GEORGES,1980-09-08 06:00:00,8,9,6, TS,42.9,-55.1,70,993,78.144,67.193,Low
1980245N16322,1980,GEORGES,1980-09-08 12:00:00,8,9,12, TS,45.6,-51.1,70,993,78.144,67.193,Low
1980245N16322,1980,GEORGES,1980-09-08 18:00:00,8,9,18, TS,48.0,-46.9,65,993,73.077,67.193,Low
1980249N18336,1980,EARL,1980-09-04 12:00:00,4,9,12, TS,17.7,-24.0,25,1008,4.702,16.249,Low
1980249N18336,1980,EARL,1980-09-04 18:00:00,4,9,18, TS,17.4,-25.3,30,1006,17.062,26.65,Low
1980249N18336,1980,EARL,1980-09-05 00:00:00,5,9,0, TS,17.8,-26.7,35,1003,32.179,41.251,Low
1980249N18336,1980,EARL,1980-09-05 06:00:00,5,9,6, TS,18.2,-28.0,40,1000,42.219,49.967,Low
1980249N18336,1980,EARL,1980-09-05 12:00:00,5,9,12, TS,18.8,-29.5,40,999,42.219,55.048,Low
1980249N18336,1980,EARL,1980-09-05 18:00:00,5,9,18, TS,19.2,-31.0,40,999,42.219,55.048,Low
