Location,Latitude,Longitude,Multi-Story?,Total Insured Value,Premium,Losses - Non Catastrophe,PolicyYear,At Risk?,Risk Category,Region,Year Hurricane Encounters,PolicyResultLookup,LocationLookup
3,22.9,-74.5,Yes,"1,268,936","2,791",0,1986, At Risk ,Medium Risk,South,0,1986 - 3,22.9-74.5
3,22.9,-74.5,Yes,"1,293,681","2,846",0,1987, At Risk ,Medium Risk,South,0,1987 - 3,22.9-74.5
3,22.9,-74.5,Yes,"1,322,271","2,903",0,1988, At Risk ,Medium Risk,South,1,1988 - 3,22.9-74.5
3,22.9,-74.5,Yes,"1,347,923","2,961",0,1989, At Risk ,Medium Risk,South,0,1989 - 3,22.9-74.5
3,22.9,-74.5,Yes,"1,372,725","3,021",0,1990, At Risk ,Medium Risk,South,0,1990 - 3,22.9-74.5
3,22.9,-74.5,Yes,"1,393,865","3,081",0,1991, At Risk ,Medium Risk,South,0,1991 - 3,22.9-74.5
3,22.9,-74.5,Yes,"1,414,912","3,143",0,1992, At Risk ,Medium Risk,South,0,1992 - 3,22.9-74.5
3,22.9,-74.5,Yes,"1,447,172","3,206",0,1993, At Risk ,Medium Risk,South,0,1993 - 3,22.9-74.5
3,22.9,-74.5,Yes,"1,469,024","3,270",0,1994, At Risk ,Medium Risk,South,0,1994 - 3,22.9-74.5
3,22.9,-74.5,Yes,"1,504,869","3,335",0,1995, At Risk ,Medium Risk,South,1,1995 - 3,22.9-74.5
3,22.9,-74.5,Yes,"1,529,548","3,402",0,1996, At Risk ,Medium Risk,South,0,1996 - 3,22.9-74.5
3,22.9,-74.5,Yes,"1,556,163","3,470",0,1997, At Risk ,Medium Risk,South,0,1997 - 3,22.9-74.5
3,22.9,-74.5,Yes,"1,588,686","3,539",0,1998, At Risk ,Medium Risk,South,0,1998 - 3,22.9-74.5
3,22.9,-74.5,Yes,"1,619,189","3,610",0,1999, At Risk ,Medium Risk,South,0,1999 - 3,22.9-74.5
3,22.9,-74.5,Yes,"1,648,173","3,682",0,2000, At Risk ,Medium Risk,South,0,2000 - 3,22.9-74.5
3,22.9,-74.5,Yes,"1,677,675","3,756",0,2001, At Risk ,Medium Risk,South,0,2001 - 3,22.9-74.5
3,22.9,-74.5,Yes,"1,715,255","3,831",0,2002, At Risk ,Medium Risk,South,0,2002 - 3,22.9-74.5
3,22.9,-74.5,Yes,"1,756,592","3,908",0,2003, At Risk ,Medium Risk,South,0,2003 - 3,22.9-74.5
3,22.9,-74.5,Yes,"1,791,549","3,986",0,2004, At Risk ,Medium Risk,South,1,2004 - 3,22.9-74.5
3,22.9,-74.5,Yes,"1,820,572","4,065",0,2005, At Risk ,Medium Risk,South,1,2005 - 3,22.9-74.5
3,22.9,-74.5,Yes,"1,854,070","4,147","37,570",2006, At Risk ,Medium Risk,South,0,2006 - 3,22.9-74.5
3,22.9,-74.5,Yes,"1,894,118","4,230",0,2007, At Risk ,Medium Risk,South,0,2007 - 3,22.9-74.5
3,22.9,-74.5,Yes,"1,941,092","4,314",0,2008, At Risk ,Medium Risk,South,0,2008 - 3,22.9-74.5
3,22.9,-74.5,Yes,"1,509,372","4,401",0,2009, At Risk ,Medium Risk,South,0,2009 - 3,22.9-74.5
3,22.9,-74.5,Yes,"1,620,493","4,489",0,2010, At Risk ,Medium Risk,South,1,2010 - 3,22.9-74.5
3,22.9,-74.5,Yes,"1,740,483","4,578",0,2011, At Risk ,Medium Risk,South,1,2011 - 3,22.9-74.5
3,22.9,-74.5,Yes,"1,924,859","4,670",0,2012, At Risk ,Medium Risk,South,0,2012 - 3,22.9-74.5
3,22.9,-74.5,Yes,"2,059,372","4,763",0,2013, At Risk ,Medium Risk,South,0,2013 - 3,22.9-74.5
3,22.9,-74.5,Yes,"2,200,985","4,859",0,2014, At Risk ,Medium Risk,South,0,2014 - 3,22.9-74.5
3,22.9,-74.5,Yes,"2,245,665","4,956","36,871",2015, At Risk ,Medium Risk,South,0,2015 - 3,22.9-74.5
3,22.9,-74.5,Yes,"2,291,027","5,055",0,2016, At Risk ,Medium Risk,South,0,2016 - 3,22.9-74.5
4,15.4,-28.8,Yes,"321,356","1,861",0,1980, At Risk ,Medium Risk,South,0,1980 - 4,15.4-28.8
4,15.4,-28.8,Yes,"328,458","1,898",0,1981, At Risk ,Medium Risk,South,0,1981 - 4,15.4-28.8
4,15.4,-28.8,Yes,"335,618","1,936",0,1982, At Risk ,Medium Risk,South,1,1982 - 4,15.4-28.8
4,15.4,-28.8,Yes,"341,055","1,975",0,1983, At Risk ,Medium Risk,South,0,1983 - 4,15.4-28.8
4,15.4,-28.8,Yes,"347,058","2,014",0,1984, At Risk ,Medium Risk,South,0,1984 - 4,15.4-28.8
4,15.4,-28.8,Yes,"353,548","2,054",0,1985, At Risk ,Medium Risk,South,1,1985 - 4,15.4-28.8
4,15.4,-28.8,Yes,"359,417","2,096",0,1986, At Risk ,Medium Risk,South,0,1986 - 4,15.4-28.8
4,15.4,-28.8,Yes,"367,935","2,137",0,1987, At Risk ,Medium Risk,South,1,1987 - 4,15.4-28.8
4,15.4,-28.8,Yes,"375,294","2,180",0,1988, At Risk ,Medium Risk,South,0,1988 - 4,15.4-28.8
4,15.4,-28.8,Yes,"381,036","2,224",0,1989, At Risk ,Medium Risk,South,0,1989 - 4,15.4-28.8
4,15.4,-28.8,Yes,"388,656","2,268","12,112",1990, At Risk ,Medium Risk,South,0,1990 - 4,15.4-28.8
4,15.4,-28.8,Yes,"397,090","2,314",0,1991, At Risk ,Medium Risk,South,1,1991 - 4,15.4-28.8
4,15.4,-28.8,Yes,"406,898","2,360",0,1992, At Risk ,Medium Risk,South,0,1992 - 4,15.4-28.8
4,15.4,-28.8,Yes,"416,908","2,407",0,1993, At Risk ,Medium Risk,South,0,1993 - 4,15.4-28.8
4,15.4,-28.8,Yes,"425,872","2,455",0,1994, At Risk ,Medium Risk,South,0,1994 - 4,15.4-28.8
4,15.4,-28.8,Yes,"435,113","2,504",0,1995, At Risk ,Medium Risk,South,0,1995 - 4,15.4-28.8
4,15.4,-28.8,Yes,"442,249","2,554",0,1996, At Risk ,Medium Risk,South,0,1996 - 4,15.4-28.8
4,15.4,-28.8,Yes,"452,111","2,606",0,1997, At Risk ,Medium Risk,South,0,1997 - 4,15.4-28.8
4,15.4,-28.8,Yes,"463,052","2,658","18,869",1998, At Risk ,Medium Risk,South,1,1998 - 4,15.4-28.8
4,15.4,-28.8,Yes,"473,934","2,711",0,1999, At Risk ,Medium Risk,South,0,1999 - 4,15.4-28.8
4,15.4,-28.8,Yes,"481,706","2,765",0,2000, At Risk ,Medium Risk,South,0,2000 - 4,15.4-28.8
5,26.5,-46,Yes,"958,066","10,316",0,1980, At Risk ,Medium Risk,South,0,1980 - 5,26.5-46
5,26.5,-46,Yes,"973,874","10,522",0,1981, At Risk ,Medium Risk,South,0,1981 - 5,26.5-46
5,26.5,-46,Yes,"994,326","10,732",0,1982, At Risk ,Medium Risk,South,0,1982 - 5,26.5-46
5,26.5,-46,Yes,"1,013,516","10,947",0,1983, At Risk ,Medium Risk,South,0,1983 - 5,26.5-46
5,26.5,-46,Yes,"1,032,063","11,166",0,1984, At Risk ,Medium Risk,South,0,1984 - 5,26.5-46
6,28,-52,Yes,"506,667","3,881",0,1980, At Risk ,Low Risk,South,0,1980 - 6,28-52
6,28,-52,Yes,"516,598","3,959",0,1981, At Risk ,Low Risk,South,0,1981 - 6,28-52
6,28,-52,Yes,"528,118","4,038",0,1982, At Risk ,Low Risk,South,0,1982 - 6,28-52
6,28,-52,Yes,"538,258","4,119",0,1983, At Risk ,Low Risk,South,0,1983 - 6,28-52
6,28,-52,Yes,"549,938","4,201",0,1984, At Risk ,Low Risk,South,1,1984 - 6,28-52
6,28,-52,Yes,"559,122","4,285",0,1985, At Risk ,Low Risk,South,0,1985 - 6,28-52
6,28,-52,Yes,"571,199","4,371",0,1986, At Risk ,Low Risk,South,0,1986 - 6,28-52
6,28,-52,Yes,"583,994","4,459",0,1987, At Risk ,Low Risk,South,0,1987 - 6,28-52
6,28,-52,Yes,"598,244","4,548",0,1988, At Risk ,Low Risk,South,1,1988 - 6,28-52
6,28,-52,Yes,"610,089","4,639",0,1989, At Risk ,Low Risk,South,0,1989 - 6,28-52
6,28,-52,Yes,"621,803","4,731",0,1990, At Risk ,Low Risk,South,0,1990 - 6,28-52
6,28,-52,Yes,"634,612","4,826",0,1991, At Risk ,Low Risk,South,1,1991 - 6,28-52
6,28,-52,Yes,"644,956","4,923",0,1992, At Risk ,Low Risk,South,0,1992 - 6,28-52
6,28,-52,Yes,"659,209","5,021",0,1993, At Risk ,Low Risk,South,0,1993 - 6,28-52
6,28,-52,Yes,"675,228","5,121",0,1994, At Risk ,Low Risk,South,0,1994 - 6,28-52
6,28,-52,Yes,"687,922","5,224",0,1995, At Risk ,Low Risk,South,0,1995 - 6,28-52
6,28,-52,Yes,"699,411","5,328",0,1996, At Risk ,Low Risk,South,0,1996 - 6,28-52
6,28,-52,Yes,"716,756","5,435",0,1997, At Risk ,Low Risk,South,1,1997 - 6,28-52
6,28,-52,Yes,"734,675","5,544",0,1998, At Risk ,Low Risk,South,0,1998 - 6,28-52
6,28,-52,Yes,"749,001","5,654",0,1999, At Risk ,Low Risk,South,0,1999 - 6,28-52
6,28,-52,Yes,"765,929","5,768",0,2000, At Risk ,Low Risk,South,0,2000 - 6,28-52
6,28,-52,Yes,"784,771","5,883",0,2001, At Risk ,Low Risk,South,0,2001 - 6,28-52
6,28,-52,Yes,"798,033","6,001",0,2002, At Risk ,Low Risk,South,1,2002 - 6,28-52
6,28,-52,Yes,"815,989","6,121",0,2003, At Risk ,Low Risk,South,0,2003 - 6,28-52
6,28,-52,Yes,"831,737","6,243",0,2004, At Risk ,Low Risk,South,0,2004 - 6,28-52
6,28,-52,Yes,"845,711","6,368",0,2005, At Risk ,Low Risk,South,1,2005 - 6,28-52
6,28,-52,Yes,"865,331","6,495",0,2006, At Risk ,Low Risk,South,0,2006 - 6,28-52
6,28,-52,Yes,"879,869","6,625",0,2007, At Risk ,Low Risk,South,0,2007 - 6,28-52
6,28,-52,Yes,"901,689","6,758","66,360",2008, At Risk ,Low Risk,South,0,2008 - 6,28-52
6,28,-52,Yes,"810,434","6,893",0,2009, At Risk ,Low Risk,South,0,2009 - 6,28-52
6,28,-52,Yes,"843,903","7,031",0,2010, At Risk ,Low Risk,South,0,2010 - 6,28-52
7,25.6,-56.5,Yes,"953,342","3,006",0,1980, At Risk ,Medium Risk,South,0,1980 - 7,25.6-56.5
7,25.6,-56.5,Yes,"975,078","3,067",0,1981, At Risk ,Medium Risk,South,1,1981 - 7,25.6-56.5
7,25.6,-56.5,Yes,"996,335","3,128",0,1982, At Risk ,Medium Risk,South,0,1982 - 7,25.6-56.5
7,25.6,-56.5,Yes,"1,012,874","3,190",0,1983, At Risk ,Medium Risk,South,0,1983 - 7,25.6-56.5
7,25.6,-56.5,Yes,"1,037,690","3,254",0,1984, At Risk ,Medium Risk,South,1,1984 - 7,25.6-56.5
7,25.6,-56.5,Yes,"1,058,444","3,319",0,1985, At Risk ,Medium Risk,South,0,1985 - 7,25.6-56.5
7,25.6,-56.5,Yes,"1,074,955","3,386",0,1986, At Risk ,Medium Risk,South,0,1986 - 7,25.6-56.5
7,25.6,-56.5,Yes,"1,091,510","3,453",0,1987, At Risk ,Medium Risk,South,1,1987 - 7,25.6-56.5
7,25.6,-56.5,Yes,"1,110,611","3,523",0,1988, At Risk ,Medium Risk,South,0,1988 - 7,25.6-56.5
8,28.3,-38.5,No,"253,182","1,370","7,866",1980, At Risk ,Low Risk,South,0,1980 - 8,28.3-38.5
8,28.3,-38.5,No,"259,132","1,398",0,1981, At Risk ,Low Risk,South,0,1981 - 8,28.3-38.5
8,28.3,-38.5,No,"265,558","1,426",0,1982, At Risk ,Low Risk,South,0,1982 - 8,28.3-38.5
8,28.3,-38.5,No,"270,179","1,454",0,1983, At Risk ,Low Risk,South,0,1983 - 8,28.3-38.5
8,28.3,-38.5,No,"274,799","1,483",0,1984, At Risk ,Low Risk,South,0,1984 - 8,28.3-38.5
8,28.3,-38.5,No,"279,361","1,513",0,1985, At Risk ,Low Risk,South,0,1985 - 8,28.3-38.5
8,28.3,-38.5,No,"285,982","1,543",0,1986, At Risk ,Low Risk,South,0,1986 - 8,28.3-38.5
8,28.3,-38.5,No,"291,787","1,574",0,1987, At Risk ,Low Risk,South,1,1987 - 8,28.3-38.5
9,28.5,-38.4,Yes,"1,380,274","4,643",0,1980, At Risk ,Low Risk,South,0,1980 - 9,28.5-38.4
9,28.5,-38.4,Yes,"1,408,293","4,736","25,052",1981, At Risk ,Low Risk,South,0,1981 - 9,28.5-38.4
9,28.5,-38.4,Yes,"1,436,741","4,830",0,1982, At Risk ,Low Risk,South,0,1982 - 9,28.5-38.4
9,28.5,-38.4,Yes,"1,462,458","4,927",0,1983, At Risk ,Low Risk,South,0,1983 - 9,28.5-38.4
9,28.5,-38.4,Yes,"1,492,000","5,026",0,1984, At Risk ,Low Risk,South,0,1984 - 9,28.5-38.4
9,28.5,-38.4,Yes,"1,528,256","5,126",0,1985, At Risk ,Low Risk,South,0,1985 - 9,28.5-38.4
9,28.5,-38.4,Yes,"1,555,153","5,229",0,1986, At Risk ,Low Risk,South,0,1986 - 9,28.5-38.4
9,28.5,-38.4,Yes,"1,584,079","5,333",0,1987, At Risk ,Low Risk,South,0,1987 - 9,28.5-38.4
10,46.2,-62.5,Yes,"742,049","1,683",0,1980, At Risk ,Low Risk,Northeast,0,1980 - 10,46.2-62.5
10,46.2,-62.5,Yes,"758,448","1,717",0,1981, At Risk ,Low Risk,Northeast,0,1981 - 10,46.2-62.5
10,46.2,-62.5,Yes,"774,527","1,751",0,1982, At Risk ,Low Risk,Northeast,0,1982 - 10,46.2-62.5
10,46.2,-62.5,Yes,"788,469","1,786",0,1983, At Risk ,Low Risk,Northeast,0,1983 - 10,46.2-62.5
10,46.2,-62.5,Yes,"805,421","1,822",0,1984, At Risk ,Low Risk,Northeast,0,1984 - 10,46.2-62.5
10,46.2,-62.5,Yes,"817,663","1,858",0,1985, At Risk ,Low Risk,Northeast,0,1985 - 10,46.2-62.5
10,46.2,-62.5,Yes,"836,551","1,895",0,1986, At Risk ,Low Risk,Northeast,0,1986 - 10,46.2-62.5
10,46.2,-62.5,Yes,"850,438","1,933",0,1987, At Risk ,Low Risk,Northeast,0,1987 - 10,46.2-62.5
10,46.2,-62.5,Yes,"871,699","1,972",0,1988, At Risk ,Low Risk,Northeast,1,1988 - 10,46.2-62.5
10,46.2,-62.5,Yes,"885,820","2,011",0,1989, At Risk ,Low Risk,Northeast,0,1989 - 10,46.2-62.5
10,46.2,-62.5,Yes,"907,700","2,051",0,1990, At Risk ,Low Risk,Northeast,0,1990 - 10,46.2-62.5
10,46.2,-62.5,Yes,"922,495","2,092",0,1991, At Risk ,Low Risk,Northeast,1,1991 - 10,46.2-62.5
10,46.2,-62.5,Yes,"940,761","2,134",0,1992, At Risk ,Low Risk,Northeast,0,1992 - 10,46.2-62.5
10,46.2,-62.5,Yes,"957,036","2,177",0,1993, At Risk ,Low Risk,Northeast,0,1993 - 10,46.2-62.5
10,46.2,-62.5,Yes,"980,005","2,221",0,1994, At Risk ,Low Risk,Northeast,0,1994 - 10,46.2-62.5
10,46.2,-62.5,Yes,"1,002,251","2,265",0,1995, At Risk ,Low Risk,Northeast,0,1995 - 10,46.2-62.5
10,46.2,-62.5,Yes,"1,022,998","2,310",0,1996, At Risk ,Low Risk,Northeast,1,1996 - 10,46.2-62.5
11,17.2,-89,Yes,"371,785","2,698",0,1980, At Risk ,Medium Risk,South,0,1980 - 11,17.2-89
11,17.2,-89,Yes,"379,370","2,752",0,1981, At Risk ,Medium Risk,South,0,1981 - 11,17.2-89
11,17.2,-89,Yes,"388,512","2,807",0,1982, At Risk ,Medium Risk,South,0,1982 - 11,17.2-89
11,17.2,-89,Yes,"397,137","2,863","103,759",1983, At Risk ,Medium Risk,South,0,1983 - 11,17.2-89
11,17.2,-89,Yes,"406,867","2,920",0,1984, At Risk ,Medium Risk,South,0,1984 - 11,17.2-89
11,17.2,-89,Yes,"415,859","2,979",0,1985, At Risk ,Medium Risk,South,0,1985 - 11,17.2-89
11,17.2,-89,Yes,"422,596","3,038",0,1986, At Risk ,Medium Risk,South,0,1986 - 11,17.2-89
11,17.2,-89,Yes,"431,132","3,099",0,1987, At Risk ,Medium Risk,South,0,1987 - 11,17.2-89
11,17.2,-89,Yes,"439,496","3,161",0,1988, At Risk ,Medium Risk,South,0,1988 - 11,17.2-89
11,17.2,-89,Yes,"449,912","3,224",0,1989, At Risk ,Medium Risk,South,0,1989 - 11,17.2-89
11,17.2,-89,Yes,"457,921","3,289",0,1990, At Risk ,Medium Risk,South,0,1990 - 11,17.2-89
11,17.2,-89,Yes,"468,865","3,354",0,1991, At Risk ,Medium Risk,South,0,1991 - 11,17.2-89
11,17.2,-89,Yes,"478,289","3,422",0,1992, At Risk ,Medium Risk,South,0,1992 - 11,17.2-89
11,17.2,-89,Yes,"488,190","3,490",0,1993, At Risk ,Medium Risk,South,1,1993 - 11,17.2-89
11,17.2,-89,Yes,"497,514","3,560",0,1994, At Risk ,Medium Risk,South,1,1994 - 11,17.2-89
12,28,-46.5,Yes,"269,100",937,0,1980, At Risk ,Medium Risk,South,0,1980 - 12,28-46.5
12,28,-46.5,Yes,"273,190",956,0,1981, At Risk ,Medium Risk,South,1,1981 - 12,28-46.5
12,28,-46.5,Yes,"279,146",975,0,1982, At Risk ,Medium Risk,South,0,1982 - 12,28-46.5
12,28,-46.5,Yes,"284,394",995,0,1983, At Risk ,Medium Risk,South,0,1983 - 12,28-46.5
12,28,-46.5,Yes,"289,342","1,015",0,1984, At Risk ,Medium Risk,South,0,1984 - 12,28-46.5
12,28,-46.5,Yes,"293,914","1,035",0,1985, At Risk ,Medium Risk,South,0,1985 - 12,28-46.5
12,28,-46.5,Yes,"299,087","1,056",0,1986, At Risk ,Medium Risk,South,0,1986 - 12,28-46.5
12,28,-46.5,Yes,"303,782","1,077",0,1987, At Risk ,Medium Risk,South,0,1987 - 12,28-46.5
12,28,-46.5,Yes,"311,346","1,098",0,1988, At Risk ,Medium Risk,South,0,1988 - 12,28-46.5
12,28,-46.5,Yes,"317,480","1,120",0,1989, At Risk ,Medium Risk,South,0,1989 - 12,28-46.5
12,28,-46.5,Yes,"324,496","1,143",0,1990, At Risk ,Medium Risk,South,0,1990 - 12,28-46.5
12,28,-46.5,Yes,"330,013","1,166",0,1991, At Risk ,Medium Risk,South,0,1991 - 12,28-46.5
12,28,-46.5,Yes,"335,458","1,189",0,1992, At Risk ,Medium Risk,South,0,1992 - 12,28-46.5
12,28,-46.5,Yes,"343,744","1,213",0,1993, At Risk ,Medium Risk,South,0,1993 - 12,28-46.5
12,28,-46.5,Yes,"351,306","1,237","7,100",1994, At Risk ,Medium Risk,South,0,1994 - 12,28-46.5
12,28,-46.5,Yes,"358,859","1,262",0,1995, At Risk ,Medium Risk,South,0,1995 - 12,28-46.5
12,28,-46.5,Yes,"365,175","1,287","10,758",1996, At Risk ,Medium Risk,South,0,1996 - 12,28-46.5
12,28,-46.5,Yes,"372,734","1,313","12,089",1997, At Risk ,Medium Risk,South,0,1997 - 12,28-46.5
12,28,-46.5,Yes,"378,735","1,339",0,1998, At Risk ,Medium Risk,South,1,1998 - 12,28-46.5
13,33.5,-45.2,Yes,"942,929","3,870",0,1980, At Risk ,Medium Risk,South,0,1980 - 13,33.5-45.2
13,33.5,-45.2,Yes,"958,487","3,947",0,1981, At Risk ,Medium Risk,South,0,1981 - 13,33.5-45.2
13,33.5,-45.2,Yes,"980,149","4,026",0,1982, At Risk ,Medium Risk,South,0,1982 - 13,33.5-45.2
13,33.5,-45.2,Yes,"1,000,536","4,107",0,1983, At Risk ,Medium Risk,South,0,1983 - 13,33.5-45.2
14,32.1,-72,No,"179,338","1,715",0,1980, At Risk ,High Risk,South,0,1980 - 14,32.1-72
14,32.1,-72,No,"182,979","1,750",0,1981, At Risk ,High Risk,South,1,1981 - 14,32.1-72
14,32.1,-72,No,"185,852","1,784",0,1982, At Risk ,High Risk,South,0,1982 - 14,32.1-72
14,32.1,-72,No,"189,494","1,820",0,1983, At Risk ,High Risk,South,1,1983 - 14,32.1-72
14,32.1,-72,No,"194,004","1,857",0,1984, At Risk ,High Risk,South,1,1984 - 14,32.1-72
14,32.1,-72,No,"197,458","1,894",0,1985, At Risk ,High Risk,South,0,1985 - 14,32.1-72
14,32.1,-72,No,"202,216","1,932",0,1986, At Risk ,High Risk,South,0,1986 - 14,32.1-72
14,32.1,-72,No,"206,443","1,970",0,1987, At Risk ,High Risk,South,1,1987 - 14,32.1-72
14,32.1,-72,No,"211,191","2,010",0,1988, At Risk ,High Risk,South,0,1988 - 14,32.1-72
14,32.1,-72,No,"216,471","2,050",0,1989, At Risk ,High Risk,South,0,1989 - 14,32.1-72
14,32.1,-72,No,"220,497","2,091",0,1990, At Risk ,High Risk,South,1,1990 - 14,32.1-72
14,32.1,-72,No,"225,480","2,133",0,1991, At Risk ,High Risk,South,0,1991 - 14,32.1-72
15,10.1,-78.9,Yes,"679,481","2,887","17,816",1980, At Risk ,Low Risk,South,0,1980 - 15,10.1-78.9
15,10.1,-78.9,Yes,"691,576","2,945",0,1981, At Risk ,Low Risk,South,1,1981 - 15,10.1-78.9
15,10.1,-78.9,Yes,"706,859","3,004",0,1982, At Risk ,Low Risk,South,0,1982 - 15,10.1-78.9
15,10.1,-78.9,Yes,"722,552","3,064",0,1983, At Risk ,Low Risk,South,0,1983 - 15,10.1-78.9
15,10.1,-78.9,Yes,"737,725","3,125",0,1984, At Risk ,Low Risk,South,0,1984 - 15,10.1-78.9
15,10.1,-78.9,Yes,"753,144","3,188",0,1985, At Risk ,Low Risk,South,1,1985 - 15,10.1-78.9
15,10.1,-78.9,Yes,"767,830","3,252",0,1986, At Risk ,Low Risk,South,0,1986 - 15,10.1-78.9
15,10.1,-78.9,Yes,"786,872","3,317",0,1987, At Risk ,Low Risk,South,0,1987 - 15,10.1-78.9
15,10.1,-78.9,Yes,"801,980","3,383",0,1988, At Risk ,Low Risk,South,0,1988 - 15,10.1-78.9
15,10.1,-78.9,Yes,"816,817","3,451",0,1989, At Risk ,Low Risk,South,0,1989 - 15,10.1-78.9
15,10.1,-78.9,Yes,"830,213","3,520",0,1990, At Risk ,Low Risk,South,0,1990 - 15,10.1-78.9
15,10.1,-78.9,Yes,"842,915","3,590",0,1991, At Risk ,Low Risk,South,0,1991 - 15,10.1-78.9
15,10.1,-78.9,Yes,"859,689","3,662",0,1992, At Risk ,Low Risk,South,0,1992 - 15,10.1-78.9
15,10.1,-78.9,Yes,"877,914","3,735",0,1993, At Risk ,Low Risk,South,1,1993 - 15,10.1-78.9
15,10.1,-78.9,Yes,"898,896","3,810","27,508",1994, At Risk ,Low Risk,South,0,1994 - 15,10.1-78.9
15,10.1,-78.9,Yes,"919,571","3,886",0,1995, At Risk ,Low Risk,South,0,1995 - 15,10.1-78.9
15,10.1,-78.9,Yes,"942,009","3,964",0,1996, At Risk ,Low Risk,South,0,1996 - 15,10.1-78.9
15,10.1,-78.9,Yes,"961,602","4,043",0,1997, At Risk ,Low Risk,South,0,1997 - 15,10.1-78.9
15,10.1,-78.9,Yes,"981,315","4,124",0,1998, At Risk ,Low Risk,South,0,1998 - 15,10.1-78.9
15,10.1,-78.9,Yes,"998,684","4,207",0,1999, At Risk ,Low Risk,South,0,1999 - 15,10.1-78.9
15,10.1,-78.9,Yes,"1,015,263","4,291",0,2000, At Risk ,Low Risk,South,0,2000 - 15,10.1-78.9
15,10.1,-78.9,Yes,"1,031,710","4,376",0,2001, At Risk ,Low Risk,South,0,2001 - 15,10.1-78.9
15,10.1,-78.9,Yes,"1,051,828","4,464",0,2002, At Risk ,Low Risk,South,0,2002 - 15,10.1-78.9
15,10.1,-78.9,Yes,"1,075,284","4,553",0,2003, At Risk ,Low Risk,South,0,2003 - 15,10.1-78.9
15,10.1,-78.9,Yes,"1,097,865","4,644","7,932",2004, At Risk ,Low Risk,South,0,2004 - 15,10.1-78.9
15,10.1,-78.9,Yes,"1,115,760","4,737",0,2005, At Risk ,Low Risk,South,0,2005 - 15,10.1-78.9
15,10.1,-78.9,Yes,"1,137,964","4,832",0,2006, At Risk ,Low Risk,South,0,2006 - 15,10.1-78.9
