Location,Latitude,Longitude,Multi-Story?,Total Insured Value,Premium,Losses - Non Catastrophe,PolicyYear,At Risk?,NumStormsEncounter,Num6-hourEncounters,Max_wind,Region
1,19.0,-100.1,Yes,510836,4982,0,2012,At Risk,0,0,0,South
1,19.0,-100.1,Yes,549387,5082,0,2013,At Risk,0,0,0,South
1,19.0,-100.1,Yes,558397,5183,0,2014,At Risk,0,0,0,South
1,19.0,-100.1,Yes,568615,5287,0,2015,At Risk,0,0,0,South
1,19.0,-100.1,Yes,579021,5393,50262,2016,At Risk,0,0,0,South
2,7.2,-74.4,No,259184,1970,0,1980,Not At Risk,0,0,0,South
2,7.2,-74.4,No,265249,2010,0,1981,Not At Risk,0,0,0,South
2,7.2,-74.4,No,271244,2050,0,1982,Not At Risk,0,0,0,South
2,7.2,-74.4,No,277781,2091,0,1983,Not At Risk,0,0,0,South
2,7.2,-74.4,No,283864,2133,0,1984,Not At Risk,0,0,0,South
2,7.2,-74.4,No,289002,2175,0,1985,Not At Risk,0,0,0,South
2,7.2,-74.4,No,295967,2219,0,1986,Not At Risk,0,0,0,South
2,7.2,-74.4,Yes,311379,2355,24000,1989,Not At Risk,0,0,0,South
2,7.2,-74.4,Yes,317825,2402,0,1990,Not At Risk,0,0,0,South
2,7.2,-74.4,Yes,325135,2450,10000,1991,Not At Risk,0,0,0,South
2,7.2,-74.4,Yes,330987,2499,0,1992,Not At Risk,0,0,0,South
2,7.2,-74.4,Yes,338501,2549,0,1993,Not At Risk,0,0,0,South
2,7.2,-74.4,Yes,346625,2600,0,1994,Not At Risk,0,0,0,South
2,7.2,-74.4,Yes,353280,2652,0,1995,Not At Risk,0,0,0,South
2,7.2,-74.4,Yes,359709,2705,0,1996,Not At Risk,0,0,0,South
2,7.2,-74.4,Yes,367767,2759,0,1997,Not At Risk,0,0,0,South
2,7.2,-74.4,Yes,373762,2814,0,1998,Not At Risk,0,0,0,South
2,7.2,-74.4,Yes,382694,2870,12000,1999,Not At Risk,0,0,0,South
2,7.2,-74.4,Yes,389277,2928,0,2000,Not At Risk,0,0,0,South
2,7.2,-74.4,Yes,396907,2986,0,2001,Not At Risk,0,0,0,South
2,7.2,-74.4,Yes,403416,3046,0,2002,Not At Risk,0,0,0,South
2,7.2,-74.4,Yes,412735,3107,0,2003,Not At Risk,0,0,0,South
2,7.2,-74.4,Yes,419173,3169,0,2004,Not At Risk,0,0,0,South
2,7.2,-74.4,Yes,425671,3232,0,2005,Not At Risk,0,0,0,South
2,7.2,-74.4,Yes,436185,3297,0,2006,Not At Risk,0,0,0,South
2,7.2,-74.4,Yes,443949,3363,0,2007,Not At Risk,0,0,0,South
2,7.2,-74.4,Yes,452561,3430,0,2008,Not At Risk,0,0,0,South
2,7.2,-74.4,Yes,359273,3499,0,2009,Not At Risk,0,0,0,South
2,7.2,-74.4,Yes,386024,3569,0,2010,Not At Risk,0,0,0,South
2,7.2,-74.4,Yes,425302,3640,0,2011,Not At Risk,0,0,0,South
2,7.2,-74.4,Yes,462418,3713,0,2012,Not At Risk,0,0,0,South
2,7.2,-74.4,Yes,498143,3787,0,2013,Not At Risk,0,0,0,South
2,7.2,-74.4,Yes,508703,3863,0,2014,Not At Risk,0,0,0,South
2,7.2,-74.4,Yes,520759,3940,0,2015,Not At Risk,0,0,0,South
2,7.2,-74.4,Yes,529352,4019,0,2016,Not At Risk,0,0,0,South
3,22.9,-74.5,Yes,1112660,2478,0,1980,At Risk,1,1,20,South
3,22.9,-74.5,Yes,1139364,2528,0,1981,At Risk,3,4,60,South
3,22.9,-74.5,Yes,1158163,2578,0,1982,At Risk,0,0,0,South
3,22.9,-74.5,Yes,1183180,2630,0,1983,At Risk,0,0,0,South
3,22.9,-74.5,Yes,1212167,2682,0,1984,At Risk,0,0,0,South
3,22.9,-74.5,Yes,1237987,2736,0,1985,At Risk,0,0,0,South
3,22.9,-74.5,Yes,1268936,2791,0,1986,At Risk,0,0,0,South
3,22.9,-74.5,Yes,1293681,2846,0,1987,At Risk,0,0,0,South
3,22.9,-74.5,Yes,1322271,2903,0,1988,At Risk,1,1,30,South
3,22.9,-74.5,Yes,1347923,2961,0,1989,At Risk,0,0,0,South
3,22.9,-74.5,Yes,1372725,3021,0,1990,At Risk,0,0,0,South
3,22.9,-74.5,Yes,1393865,3081,0,1991,At Risk,0,0,0,South
3,22.9,-74.5,Yes,1414912,3143,0,1992,At Risk,0,0,0,South
3,22.9,-74.5,Yes,1447172,3206,0,1993,At Risk,0,0,0,South
3,22.9,-74.5,Yes,1469024,3270,0,1994,At Risk,0,0,0,South
3,22.9,-74.5,Yes,1504869,3335,0,1995,At Risk,1,4,70,South
3,22.9,-74.5,Yes,1529548,3402,0,1996,At Risk,0,0,0,South
3,22.9,-74.5,Yes,1556163,3470,0,1997,At Risk,0,0,0,South
3,22.9,-74.5,Yes,1588686,3539,0,1998,At Risk,0,0,0,South
3,22.9,-74.5,Yes,1619189,3610,0,1999,At Risk,0,0,0,South
3,22.9,-74.5,Yes,1648173,3682,0,2000,At Risk,0,0,0,South
3,22.9,-74.5,Yes,1677675,3756,0,2001,At Risk,0,0,0,South
3,22.9,-74.5,Yes,1715255,3831,0,2002,At Risk,0,0,0,South
3,22.9,-74.5,Yes,1756592,3908,0,2003,At Risk,0,0,0,South
3,22.9,-74.5,Yes,1791549,3986,0,2004,At Risk,1,2,120,South
3,22.9,-74.5,Yes,1820572,4065,0,2005,At Risk,2,3,55,South
3,22.9,-74.5,Yes,1854070,4147,37570,2006,At Risk,0,0,0,South
3,22.9,-74.5,Yes,1894118,4230,0,2007,At Risk,0,0,0,South
3,22.9,-74.5,Yes,1941092,4314,0,2008,At Risk,0,0,0,South
3,22.9,-74.5,Yes,1509372,4401,0,2009,At Risk,0,0,0,South
3,22.9,-74.5,Yes,1620493,4489,0,2010,At Risk,1,1,30,South
3,22.9,-74.5,Yes,1740483,4578,0,2011,At Risk,1,2,100,South
3,22.9,-74.5,Yes,1924859,4670,0,2012,At Risk,0,0,0,South
3,22.9,-74.5,Yes,2059372,4763,0,2013,At Risk,0,0,0,South
3,22.9,-74.5,Yes,2200985,4859,0,2014,At Risk,0,0,0,South
3,22.9,-74.5,Yes,2245665,4956,36871,2015,At Risk,0,0,0,South
3,22.9,-74.5,Yes,2291027,5055,0,2016,At Risk,0,0,0,South
4,15.4,-28.8,Yes,321356,1861,0,1980,At Risk,0,0,0,South
4,15.4,-28.8,Yes,328458,1898,0,1981,At Risk,0,0,0,South
4,15.4,-28.8,Yes,335618,1936,0,1982,At Risk,1,1,50,South
4,15.4,-28.8,Yes,341055,1975,0,1983,At Risk,0,0,0,South
4,15.4,-28.8,Yes,347058,2014,0,1984,At Risk,0,0,0,South
4,15.4,-28.8,Yes,353548,2054,0,1985,At Risk,1,1,35,South
4,15.4,-28.8,Yes,359417,2096,0,1986,At Risk,0,0,0,South
4,15.4,-28.8,Yes,367935,2137,0,1987,At Risk,1,2,35,South
4,15.4,-28.8,Yes,375294,2180,0,1988,At Risk,0,0,0,South
4,15.4,-28.8,Yes,381036,2224,0,1989,At Risk,0,0,0,South
4,15.4,-28.8,Yes,388656,2268,12112,1990,At Risk,0,0,0,South
4,15.4,-28.8,Yes,397090,2314,0,1991,At Risk,1,1,30,South
4,15.4,-28.8,Yes,406898,2360,0,1992,At Risk,0,0,0,South
4,15.4,-28.8,Yes,416908,2407,0,1993,At Risk,0,0,0,South
4,15.4,-28.8,Yes,425872,2455,0,1994,At Risk,0,0,0,South
4,15.4,-28.8,Yes,435113,2504,0,1995,At Risk,0,0,0,South
4,15.4,-28.8,Yes,442249,2554,0,1996,At Risk,0,0,0,South
4,15.4,-28.8,Yes,452111,2606,0,1997,At Risk,0,0,0,South
4,15.4,-28.8,Yes,463052,2658,18869,1998,At Risk,0,0,0,South
4,15.4,-28.8,Yes,473934,2711,0,1999,At Risk,0,0,0,South
4,15.4,-28.8,Yes,481706,2765,0,2000,At Risk,0,0,0,South
4,15.4,-28.8,Yes,511887,2934,0,2003,At Risk,0,0,0,South
4,15.4,-28.8,Yes,520538,2993,0,2004,At Risk,0,0,0,South
4,15.4,-28.8,Yes,530376,3053,0,2005,At Risk,0,0,0,South
4,15.4,-28.8,Yes,541355,3114,0,2006,At Risk,1,2,40,South
4,15.4,-28.8,Yes,549908,3176,0,2007,At Risk,1,2,35,South
4,15.4,-28.8,Yes,561236,3240,0,2008,At Risk,1,1,45,South
4,15.4,-28.8,Yes,501873,3304,0,2009,At Risk,2,2,25,South
4,15.4,-28.8,Yes,531092,3370,0,2010,At Risk,2,3,70,South
4,15.4,-28.8,Yes,564039,3438,0,2011,At Risk,0,0,0,South
4,15.4,-28.8,Yes,597203,3507,0,2012,At Risk,0,0,0,South
4,15.4,-28.8,Yes,626788,3577,96103,2013,At Risk,0,0,0,South
4,15.4,-28.8,Yes,665338,3796,0,2016,At Risk,0,0,0,South
5,26.5,-46.0,Yes,958066,10316,0,1980,At Risk,0,0,0,South
5,26.5,-46.0,Yes,973874,10522,0,1981,At Risk,1,1,30,South
5,26.5,-46.0,Yes,994326,10732,0,1982,At Risk,0,0,0,South
5,26.5,-46.0,Yes,1013516,10947,0,1983,At Risk,0,0,0,South
5,26.5,-46.0,Yes,1032063,11166,0,1984,At Risk,0,0,0,South
5,26.5,-46.0,Yes,1071865,11617,0,1986,At Risk,0,0,0,South
5,26.5,-46.0,Yes,1092766,11850,0,1987,At Risk,0,0,0,South
5,26.5,-46.0,Yes,1110687,12087,0,1988,At Risk,0,0,0,South
5,26.5,-46.0,Yes,1133234,12328,0,1989,At Risk,0,0,0,South
5,26.5,-46.0,Yes,1151933,12575,0,1990,At Risk,2,9,40,South
5,26.5,-46.0,Yes,1177045,12826,0,1991,At Risk,0,0,0,South
5,26.5,-46.0,Yes,1200468,13083,0,1992,At Risk,0,0,0,South
5,26.5,-46.0,Yes,1220036,13345,0,1993,At Risk,0,0,0,South
5,26.5,-46.0,Yes,1243216,13611,0,1994,At Risk,0,0,0,South
5,26.5,-46.0,Yes,1273054,13884,0,1995,At Risk,0,0,0,South
5,26.5,-46.0,Yes,1303480,14161,0,1996,At Risk,0,0,0,South
5,26.5,-46.0,Yes,1332547,14445,0,1997,At Risk,0,0,0,South
5,26.5,-46.0,Yes,1422576,15329,0,2000,At Risk,0,0,0,South
5,26.5,-46.0,Yes,1453731,15635,0,2001,At Risk,0,0,0,South
5,26.5,-46.0,Yes,1477136,15948,0,2002,At Risk,0,0,0,South
5,26.5,-46.0,Yes,1500770,16267,0,2003,At Risk,0,0,0,South
5,26.5,-46.0,Yes,1531236,16592,0,2004,At Risk,1,1,60,South
5,26.5,-46.0,Yes,1556807,16924,0,2005,At Risk,1,2,25,South
5,26.5,-46.0,Yes,1581561,17263,0,2006,At Risk,0,0,0,South
5,26.5,-46.0,Yes,1648680,17960,0,2008,At Risk,0,0,0,South
5,26.5,-46.0,Yes,1430293,18319,0,2009,At Risk,0,0,0,South
5,26.5,-46.0,Yes,1510294,18686,83620,2010,At Risk,0,0,0,South
5,26.5,-46.0,Yes,1590293,19059,0,2011,At Risk,0,0,0,South
5,26.5,-46.0,Yes,1663094,19440,101384,2012,At Risk,0,0,0,South
5,26.5,-46.0,Yes,1817709,19829,0,2013,At Risk,0,0,0,South
5,26.5,-46.0,Yes,1847156,20226,145019,2014,At Risk,0,0,0,South
5,26.5,-46.0,Yes,1886685,20630,0,2015,At Risk,0,0,0,South
5,26.5,-46.0,Yes,1929890,21043,0,2016,At Risk,0,0,0,South
6,28.0,-52.0,Yes,506667,3881,0,1980,At Risk,0,0,0,South
6,28.0,-52.0,Yes,516598,3959,0,1981,At Risk,0,0,0,South
6,28.0,-52.0,Yes,528118,4038,0,1982,At Risk,0,0,0,South
6,28.0,-52.0,Yes,538258,4119,0,1983,At Risk,0,0,0,South
6,28.0,-52.0,Yes,549938,4201,0,1984,At Risk,1,2,70,South
6,28.0,-52.0,Yes,559122,4285,0,1985,At Risk,0,0,0,South
6,28.0,-52.0,Yes,571199,4371,0,1986,At Risk,0,0,0,South
6,28.0,-52.0,Yes,583994,4459,0,1987,At Risk,0,0,0,South
6,28.0,-52.0,Yes,598244,4548,0,1988,At Risk,1,1,75,South
6,28.0,-52.0,Yes,610089,4639,0,1989,At Risk,0,0,0,South
6,28.0,-52.0,Yes,621803,4731,0,1990,At Risk,0,0,0,South
6,28.0,-52.0,Yes,634612,4826,0,1991,At Risk,1,1,30,South
6,28.0,-52.0,Yes,644956,4923,0,1992,At Risk,0,0,0,South
6,28.0,-52.0,Yes,659209,5021,0,1993,At Risk,0,0,0,South
6,28.0,-52.0,Yes,675228,5121,0,1994,At Risk,0,0,0,South
6,28.0,-52.0,Yes,687922,5224,0,1995,At Risk,0,0,0,South
6,28.0,-52.0,Yes,699411,5328,0,1996,At Risk,0,0,0,South
6,28.0,-52.0,Yes,716756,5435,0,1997,At Risk,1,1,35,South
6,28.0,-52.0,Yes,734675,5544,0,1998,At Risk,0,0,0,South
6,28.0,-52.0,Yes,749001,5654,0,1999,At Risk,0,0,0,South
6,28.0,-52.0,Yes,765929,5768,0,2000,At Risk,0,0,0,South
6,28.0,-52.0,Yes,784771,5883,0,2001,At Risk,0,0,0,South
6,28.0,-52.0,Yes,798033,6001,0,2002,At Risk,1,1,25,South
6,28.0,-52.0,Yes,815989,6121,0,2003,At Risk,0,0,0,South
6,28.0,-52.0,Yes,831737,6243,0,2004,At Risk,0,0,0,South
6,28.0,-52.0,Yes,845711,6368,0,2005,At Risk,1,1,30,South
6,28.0,-52.0,Yes,865331,6495,0,2006,At Risk,0,0,0,South
6,28.0,-52.0,Yes,879869,6625,0,2007,At Risk,0,0,0,South
6,28.0,-52.0,Yes,901689,6758,66360,2008,At Risk,0,0,0,South
6,28.0,-52.0,Yes,810434,6893,0,2009,At Risk,0,0,0,South
6,28.0,-52.0,Yes,843903,7031,0,2010,At Risk,0,0,0,South
6,28.0,-52.0,Yes,890283,7171,0,2011,At Risk,0,0,0,South
6,28.0,-52.0,Yes,920473,7315,0,2012,At Risk,0,0,0,South
6,28.0,-52.0,Yes,992106,7461,0,2013,At Risk,0,0,0,South
6,28.0,-52.0,Yes,1008178,7610,0,2014,At Risk,0,0,0,South
6,28.0,-52.0,Yes,1025317,7762,0,2015,At Risk,0,0,0,South
6,28.0,-52.0,Yes,1049412,7918,0,2016,At Risk,0,0,0,South
7,25.6,-56.5,Yes,953342,3006,0,1980,At Risk,0,0,0,South
7,25.6,-56.5,Yes,975078,3067,0,1981,At Risk,1,2,105,South
7,25.6,-56.5,Yes,996335,3128,0,1982,At Risk,0,0,0,South
7,25.6,-56.5,Yes,1012874,3190,0,1983,At Risk,0,0,0,South
7,25.6,-56.5,Yes,1037690,3254,0,1984,At Risk,2,2,75,South
7,25.6,-56.5,Yes,1058444,3319,0,1985,At Risk,0,0,0,South
7,25.6,-56.5,Yes,1074955,3386,0,1986,At Risk,0,0,0,South
7,25.6,-56.5,Yes,1091510,3453,0,1987,At Risk,1,1,30,South
7,25.6,-56.5,Yes,1110611,3523,0,1988,At Risk,0,0,0,South
7,25.6,-56.5,Yes,1130935,3593,0,1989,At Risk,0,0,0,South
7,25.6,-56.5,Yes,1156042,3665,0,1990,At Risk,0,0,0,South
7,25.6,-56.5,Yes,1181244,3738,0,1991,At Risk,1,3,50,South
7,25.6,-56.5,Yes,1203805,3813,0,1992,At Risk,0,0,0,South
7,25.6,-56.5,Yes,1371826,4294,0,1998,At Risk,0,0,0,South
7,25.6,-56.5,Yes,1405436,4380,0,1999,At Risk,0,0,0,South
7,25.6,-56.5,Yes,1435231,4467,41047,2000,At Risk,0,0,0,South
7,25.6,-56.5,Yes,1462500,4557,29801,2001,At Risk,0,0,0,South
7,25.6,-56.5,Yes,1491458,4648,0,2002,At Risk,0,0,0,South
7,25.6,-56.5,Yes,1515023,4741,0,2003,At Risk,1,1,25,South
7,25.6,-56.5,Yes,1551232,4836,33898,2004,At Risk,0,0,0,South
7,25.6,-56.5,Yes,1580240,4932,0,2005,At Risk,2,2,35,South
7,25.6,-56.5,Yes,1618482,5031,37884,2006,At Risk,1,2,90,South
7,25.6,-56.5,Yes,1649233,5132,0,2007,At Risk,0,0,0,South
7,25.6,-56.5,Yes,1687165,5234,0,2008,At Risk,1,1,70,South
7,25.6,-56.5,Yes,1458493,5339,0,2009,At Risk,0,0,0,South
7,25.6,-56.5,Yes,1538293,5446,0,2010,At Risk,1,2,95,South
7,25.6,-56.5,Yes,1640293,5555,0,2011,At Risk,0,0,0,South
7,25.6,-56.5,Yes,1769303,5666,0,2012,At Risk,0,0,0,South
7,25.6,-56.5,Yes,1843842,5779,0,2013,At Risk,0,0,0,South
7,25.6,-56.5,Yes,1883116,5895,0,2014,At Risk,0,0,0,South
7,25.6,-56.5,Yes,1928499,6013,0,2015,At Risk,0,0,0,South
7,25.6,-56.5,Yes,1974204,6133,0,2016,At Risk,0,0,0,South
8,28.3,-38.5,No,253182,1370,7866,1980,At Risk,0,0,0,South
8,28.3,-38.5,No,259132,1398,0,1981,At Risk,0,0,0,South
8,28.3,-38.5,No,265558,1426,0,1982,At Risk,0,0,0,South
8,28.3,-38.5,No,270179,1454,0,1983,At Risk,0,0,0,South
8,28.3,-38.5,No,274799,1483,0,1984,At Risk,0,0,0,South
8,28.3,-38.5,No,279361,1513,0,1985,At Risk,0,0,0,South
8,28.3,-38.5,No,285982,1543,0,1986,At Risk,0,0,0,South
8,28.3,-38.5,No,291787,1574,0,1987,At Risk,1,1,45,South
8,28.3,-38.5,Yes,296339,1606,0,1988,At Risk,0,0,0,South
8,28.3,-38.5,Yes,301318,1638,0,1989,At Risk,0,0,0,South
8,28.3,-38.5,Yes,307133,1671,0,1990,At Risk,0,0,0,South
8,28.3,-38.5,Yes,312661,1704,0,1991,At Risk,0,0,0,South
8,28.3,-38.5,Yes,319321,1738,0,1992,At Risk,0,0,0,South
8,28.3,-38.5,Yes,325452,1773,0,1993,At Risk,0,0,0,South
8,28.3,-38.5,Yes,332970,1808,0,1994,At Risk,0,0,0,South
8,28.3,-38.5,Yes,339563,1844,0,1995,At Risk,0,0,0,South
8,28.3,-38.5,Yes,345166,1881,0,1996,At Risk,0,0,0,South
8,28.3,-38.5,Yes,375856,2036,0,2000,At Risk,0,0,0,South
8,28.3,-38.5,Yes,384350,2077,34628,2001,At Risk,1,1,30,South
8,28.3,-38.5,Yes,390538,2119,0,2002,At Risk,0,0,0,South
8,28.3,-38.5,Yes,399326,2161,0,2003,At Risk,1,1,55,South
8,28.3,-38.5,Yes,408989,2204,0,2004,At Risk,1,1,45,South
8,28.3,-38.5,Yes,416719,2248,0,2005,At Risk,1,2,60,South
8,28.3,-38.5,Yes,424595,2293,0,2006,At Risk,0,0,0,South
8,28.3,-38.5,Yes,431219,2339,0,2007,At Risk,0,0,0,South
8,28.3,-38.5,Yes,441741,2386,0,2008,At Risk,0,0,0,South
8,28.3,-38.5,Yes,340593,2434,92817,2009,At Risk,0,0,0,South
8,28.3,-38.5,Yes,370472,2482,0,2010,At Risk,0,0,0,South
8,28.3,-38.5,Yes,402398,2532,0,2011,At Risk,0,0,0,South
8,28.3,-38.5,Yes,448736,2583,0,2012,At Risk,0,0,0,South
8,28.3,-38.5,Yes,488143,2634,0,2013,At Risk,0,0,0,South
8,28.3,-38.5,Yes,499615,2687,0,2014,At Risk,0,0,0,South
8,28.3,-38.5,Yes,510556,2741,45321,2015,At Risk,0,0,0,South
8,28.3,-38.5,Yes,520461,2796,0,2016,At Risk,0,0,0,South
9,28.5,-38.4,Yes,1380274,4643,0,1980,At Risk,0,0,0,South
9,28.5,-38.4,Yes,1408293,4736,25052,1981,At Risk,0,0,0,South
9,28.5,-38.4,Yes,1436741,4830,0,1982,At Risk,0,0,0,South
9,28.5,-38.4,Yes,1462458,4927,0,1983,At Risk,0,0,0,South
9,28.5,-38.4,Yes,1492000,5026,0,1984,At Risk,0,0,0,South
9,28.5,-38.4,Yes,1528256,5126,0,1985,At Risk,0,0,0,South
9,28.5,-38.4,Yes,1555153,5229,0,1986,At Risk,0,0,0,South
9,28.5,-38.4,Yes,1584079,5333,0,1987,At Risk,1,1,45,South
9,28.5,-38.4,Yes,1615285,5440,0,1988,At Risk,0,0,0,South
9,28.5,-38.4,Yes,1648560,5549,0,1989,At Risk,0,0,0,South
9,28.5,-38.4,Yes,1676091,5660,0,1990,At Risk,0,0,0,South
9,28.5,-38.4,Yes,1706428,5773,0,1991,At Risk,0,0,0,South
9,28.5,-38.4,Yes,1741069,5888,38038,1992,At Risk,0,0,0,South
9,28.5,-38.4,Yes,1768752,6006,0,1993,At Risk,0,0,0,South
9,28.5,-38.4,Yes,1811909,6126,0,1994,At Risk,0,0,0,South
9,28.5,-38.4,Yes,1849959,6249,0,1995,At Risk,0,0,0,South
9,28.5,-38.4,Yes,1884183,6374,0,1996,At Risk,0,0,0,South
9,28.5,-38.4,Yes,1930723,6501,0,1997,At Risk,0,0,0,South
9,28.5,-38.4,Yes,1961614,6631,0,1998,At Risk,1,1,55,South
9,28.5,-38.4,Yes,2116204,7178,0,2002,At Risk,0,0,0,South
9,28.5,-38.4,Yes,2166146,7321,0,2003,At Risk,1,1,55,South
9,28.5,-38.4,Yes,2213368,7468,0,2004,At Risk,1,2,45,South
9,28.5,-38.4,Yes,2259849,7617,0,2005,At Risk,1,2,60,South
9,28.5,-38.4,Yes,2305046,7769,0,2006,At Risk,0,0,0,South
9,28.5,-38.4,Yes,2351608,7925,0,2007,At Risk,0,0,0,South
9,28.5,-38.4,Yes,2410163,8083,0,2008,At Risk,0,0,0,South
9,28.5,-38.4,Yes,1949302,8245,0,2009,At Risk,0,0,0,South
9,28.5,-38.4,Yes,2034953,8410,52646,2010,At Risk,0,0,0,South
9,28.5,-38.4,Yes,2189301,8578,0,2011,At Risk,0,0,0,South
9,28.5,-38.4,Yes,2641744,8925,0,2013,At Risk,0,0,0,South
9,28.5,-38.4,Yes,2693258,9103,0,2014,At Risk,0,0,0,South
9,28.5,-38.4,Yes,2734465,9285,0,2015,At Risk,0,0,0,South
9,28.5,-38.4,Yes,2792436,9471,0,2016,At Risk,0,0,0,South
10,46.2,-62.5,Yes,742049,1683,0,1980,At Risk,0,0,0,Northeast
10,46.2,-62.5,Yes,758448,1717,0,1981,At Risk,0,0,0,Northeast
10,46.2,-62.5,Yes,774527,1751,0,1982,At Risk,0,0,0,Northeast
10,46.2,-62.5,Yes,788469,1786,0,1983,At Risk,0,0,0,Northeast
10,46.2,-62.5,Yes,805421,1822,0,1984,At Risk,0,0,0,Northeast
10,46.2,-62.5,Yes,817663,1858,0,1985,At Risk,0,0,0,Northeast
10,46.2,-62.5,Yes,836551,1895,0,1986,At Risk,0,0,0,Northeast
10,46.2,-62.5,Yes,850438,1933,0,1987,At Risk,0,0,0,Northeast
10,46.2,-62.5,Yes,871699,1972,0,1988,At Risk,1,1,35,Northeast
10,46.2,-62.5,Yes,885820,2011,0,1989,At Risk,0,0,0,Northeast
10,46.2,-62.5,Yes,907700,2051,0,1990,At Risk,0,0,0,Northeast
10,46.2,-62.5,Yes,922495,2092,0,1991,At Risk,1,1,30,Northeast
10,46.2,-62.5,Yes,940761,2134,0,1992,At Risk,0,0,0,Northeast
10,46.2,-62.5,Yes,957036,2177,0,1993,At Risk,0,0,0,Northeast
10,46.2,-62.5,Yes,980005,2221,0,1994,At Risk,0,0,0,Northeast
10,46.2,-62.5,Yes,1002251,2265,0,1995,At Risk,0,0,0,Northeast
10,46.2,-62.5,Yes,1022998,2310,0,1996,At Risk,3,3,65,Northeast
10,46.2,-62.5,Yes,1045504,2356,0,1997,At Risk,0,0,0,Northeast
10,46.2,-62.5,Yes,1062127,2404,0,1998,At Risk,0,0,0,Northeast
10,46.2,-62.5,Yes,1084219,2452,0,1999,At Risk,1,1,35,Northeast
10,46.2,-62.5,Yes,1109807,2501,0,2000,At Risk,0,0,0,Northeast
10,46.2,-62.5,Yes,1132780,2551,0,2001,At Risk,0,0,0,Northeast
10,46.2,-62.5,Yes,1160646,2602,0,2002,At Risk,0,0,0,Northeast
10,46.2,-62.5,Yes,1189430,2654,0,2003,At Risk,1,1,65,Northeast
10,46.2,-62.5,Yes,1208461,2707,0,2004,At Risk,0,0,0,Northeast
10,46.2,-62.5,Yes,1230455,2761,0,2005,At Risk,0,0,0,Northeast
10,46.2,-62.5,Yes,1260970,2816,0,2006,At Risk,1,1,35,Northeast
10,46.2,-62.5,Yes,1285433,2872,0,2007,At Risk,0,0,0,Northeast
10,46.2,-62.5,Yes,1310499,2930,74023,2008,At Risk,1,1,45,Northeast
10,46.2,-62.5,Yes,998734,2989,0,2009,At Risk,0,0,0,Northeast
10,46.2,-62.5,Yes,1047483,3048,0,2010,At Risk,1,2,65,Northeast
10,46.2,-62.5,Yes,1194739,3109,0,2011,At Risk,0,0,0,Northeast
10,46.2,-62.5,Yes,1329593,3171,0,2012,At Risk,0,0,0,Northeast
10,46.2,-62.5,Yes,1452694,3235,0,2013,At Risk,0,0,0,Northeast
10,46.2,-62.5,Yes,1489011,3300,0,2014,At Risk,0,0,0,Northeast
10,46.2,-62.5,Yes,1518196,3366,0,2015,At Risk,0,0,0,Northeast
10,46.2,-62.5,Yes,1540969,3433,0,2016,At Risk,0,0,0,Northeast
